id,Schistosoma_population,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,sex,cross_parent
SmBRE_32,SmBRE,33.3333333333333,300,100,200,633.333333333333,158.333333333333,m,NA
SmBRE_33,SmBRE,100,700,366.666666666667,166.666666666667,1333.33333333333,333.333333333333,f,NA
SmBRE_34,SmBRE,100,233.333333333333,100,66.6666666666667,500,125,m,NA
SmBRE_35,SmBRE,66.6666666666667,366.666666666667,166.666666666667,33.3333333333333,633.333333333334,158.333333333334,f,NA
SmBRE_36,SmBRE,133.333333333333,NA,NA,NA,133.333333333333,133.333333333333,m,NA
SmBRE_37,SmBRE,600,300,166.666666666667,166.666666666667,1233.33333333333,308.333333333333,m,NA
SmBRE_38,SmBRE,200,533.333333333333,333.333333333333,NA,1066.66666666667,355.555555555555,f,NA
SmBRE_39,SmBRE,100,733.333333333333,300,266.666666666667,1400,350,f,NA
SmBRE_40,SmBRE,633.333333333333,,NA,NA,633.333333333333,633.333333333333,m,NA
SmBRE_41,SmBRE,1233.33333333333,166.666666666667,66.6666666666667,NA,1466.66666666666,488.888888888888,m,NA
SmBRE_42,SmBRE,366.666666666667,133.333333333333,66.6666666666667,233.333333333333,800,200,f,NA
SmBRE_43,SmBRE,100,366.666666666667,533.333333333333,100,1100,275,m,NA
SmBRE_44,SmBRE,233.333333333333,666.666666666667,366.666666666667,366.666666666667,1633.33333333333,408.333333333334,f,NA
SmBRE_45,SmBRE,33.3333333333333,300,400,133.333333333333,866.666666666666,216.666666666667,m,NA
SmBRE_46,SmBRE,NA,333.333333333333,833.333333333333,66.6666666666667,1233.33333333333,411.111111111111,NA,NA
SmBRE_47,SmBRE,NA,300,200,200,700,233.333333333333,f,NA
SmBRE_48,SmBRE,NA,166.666666666667,200,100,466.666666666667,155.555555555556,m,NA
SmLE_1,SmLE,2566.66666666667,1033.33333333333,1633.33333333333,2333.33333333333,7566.66666666666,1891.66666666667,m,NA
SmLE_2,SmLE,1866.66666666667,1600,NA,NA,3466.66666666667,1733.33333333334,f,NA
SmLE_3,SmLE,3900,533.333333333333,7466.66666666667,NA,11900,3966.66666666667,f,NA
SmLE_4,SmLE,3033.33333333333,933.333333333333,2266.66666666667,NA,6233.33333333333,2077.77777777778,f,NA
SmLE_5,SmLE,1166.66666666667,600,1466.66666666667,NA,3233.33333333334,1077.77777777778,m,NA
SmLE_6,SmLE,1833.33333333333,2100,NA,NA,3933.33333333333,1966.66666666667,m,NA
SmLE_7,SmLE,1466.66666666667,1200,NA,NA,2666.66666666667,1333.33333333333,f,NA
SmLE_8,SmLE,3666.66666666667,1400,1433.33333333333,NA,6500,2166.66666666667,m,NA
SmLE_9,SmLE,833.333333333333,2200,1700,NA,4733.33333333333,1577.77777777778,f,NA
SmLE_10,SmLE,1900,400,NA,NA,2300,1150,m,NA
SmLE_11,SmLE,3100,NA,NA,NA,3100,3100,f,NA
SmLE_12,SmLE,2866.66666666667,3033.33333333333,2300,NA,8200,2733.33333333333,m,NA
SmLE_13,SmLE,3533.33333333333,1333.33333333333,2033.33333333333,1666.66666666667,8566.66666666666,2141.66666666667,m,NA
SmLE_14,SmLE,3133.33333333333,2666.66666666667,2233.33333333333,NA,8033.33333333333,2677.77777777778,m,NA
SmLE_15,SmLE,5433.33333333333,4966.66666666667,2466.66666666667,3033.33333333333,15900,3975,m,B
SmLE_16,SmLE,3700,3166.66666666667,NA,NA,6866.66666666667,3433.33333333333,f,NA
SmLE_17,SmLE,4366.66666666667,4266.66666666667,2400,1600,12633.3333333333,3158.33333333333,m,NA
SmLE_18,SmLE,4233.33333333333,2500,1733.33333333333,1466.66666666667,9933.33333333333,2483.33333333333,m,NA
SmLE_19,SmLE,4666.66666666667,1866.66666666667,2533.33333333333,2133.33333333333,11200,2800,f,A
SmLE_20,SmLE,4500,2333.33333333333,2533.33333333333,NA,9366.66666666666,3122.22222222222,f,NA
SmLE_21,SmLE,4166.66666666667,2033.33333333333,2866.66666666667,2633.33333333333,11700,2925,m,NA
SmLE_22,SmLE,1266.66666666667,633.333333333333,2200,NA,4100,1366.66666666667,m,NA
SmLE_23,SmLE,2866.66666666667,1000,1433.33333333333,NA,5300,1766.66666666667,m,NA
SmLE_24,SmLE,2600,1666.66666666667,NA,NA,4266.66666666667,2133.33333333333,m,NA
SmLE_25,SmLE,3533.33333333333,1200,1633.33333333333,NA,6366.66666666666,2122.22222222222,f,NA
SmLE_26,SmLE,3600,2866.66666666667,NA,NA,6466.66666666667,3233.33333333333,f,NA
SmLE_27,SmLE,3066.66666666667,1533.33333333333,1400,1400,7400,1850,f,NA
SmLE_28,SmLE,3666.66666666667,2566.66666666667,3200,1600,11033.3333333333,2758.33333333333,f,NA
SmLE_29,SmLE,2866.66666666667,3166.66666666667,3366.66666666667,3066.66666666667,12466.6666666667,3116.66666666667,f,NA
SmLE_30,SmLE,3966.66666666667,2633.33333333333,3866.66666666667,3766.66666666667,14233.3333333333,3558.33333333333,f,NA
SmLE_31,SmLE,3266.66666666667,2600,5733.33333333333,2866.66666666667,14466.6666666667,3616.66666666667,f,NA
SmLE_32,SmLE,1566.66666666667,NA,NA,NA,1566.66666666667,1566.66666666667,f,NA
SmLE_33,SmLE,3566.66666666667,1800,2833.33333333333,NA,8200,2733.33333333333,m,NA
SmLE_34,SmLE,2766.66666666667,1766.66666666667,1733.33333333333,NA,6266.66666666667,2088.88888888889,f,NA
SmLE_35,SmLE,2600,2400,2500,2166.66666666667,9666.66666666667,2416.66666666667,m,NA
SmLE_36,SmLE,2400,1466.66666666667,1000,NA,4866.66666666667,1622.22222222222,f,NA
SmLE_37,SmLE,3000,2066.66666666667,1100,2266.66666666667,8433.33333333334,2108.33333333333,m,NA
SmLE_38,SmLE,2266.66666666667,2133.33333333333,2000,NA,6400,2133.33333333333,f,NA
SmLE_39,SmLE,3100,1266.66666666667,1300,NA,5666.66666666667,1888.88888888889,m,NA
SmLE_40,SmLE,1500,NA,NA,NA,1500,1500,f,NA
SmLE_41,SmLE,2233.33333333333,1200,966.666666666667,NA,4400,1466.66666666667,f,NA
SmLE_42,SmLE,3000,2966.66666666667,1833.33333333333,NA,7800,2600,f,NA
SmLE_43,SmLE,3733.33333333333,3066.66666666667,NA,NA,6800,3400,m,NA
SmLE_44,SmLE,1266.66666666667,1333.33333333333,NA,NA,2600,1300,m,NA
SmLE_45,SmLE,3800,800,2433.33333333333,2333.33333333333,9366.66666666666,2341.66666666666,f,NA
SmLE_46,SmLE,1333.33333333333,2200,1600,2933.33333333333,8066.66666666666,2016.66666666667,f,NA
