id,cross,Shed.1,Shed.2,Shed.3,Shed.4,sum,average,PO,Hb,sex,parent_cross
F1B_100,F1B,1133.33333333333,1566.66666666667,1533.33333333333,NA,4233.33333333333,1411.11111111111,NA,NA,m,NA
F1B_101,F1B,1233.33333333333,2666.66666666667,2000,1800,7700,1925,NA,NA,f,NA
F1B_102,F1B,1300,1566.66666666667,1600,1333.33333333333,5800,1450,2.2243,0.7557,f,NA
F1B_103,F1B,500,1300,1400,NA,3200,1066.66666666667,NA,NA,m,NA
F1B_104,F1B,766.666666666667,900,1300,NA,2966.66666666667,988.888888888889,NA,NA,m,NA
F1B_105,F1B,1700,3233.33333333333,1766.66666666667,1533.33333333333,8233.33333333333,2058.33333333333,1.9315,0.4826,f,NA
F1B_106,F1B,1866.66666666667,933.333333333333,1466.66666666667,1066.66666666667,5333.33333333334,1333.33333333334,2.3534,0.3973,f,NA
F1B_107,F1B,1733.33333333333,2600,1600,NA,5933.33333333333,1977.77777777778,NA,NA,f,NA
F1B_108,F1B,766.666666666667,1966.66666666667,1233.33333333333,633.333333333333,4600,1150,1.6592,0.5373,m,NA
F1B_109,F1B,1300,966.666666666667,1100,1100,4466.66666666667,1116.66666666667,NA,NA,m,NA
F1B_110,F1B,1166.66666666667,1466.66666666667,1733.33333333333,NA,4366.66666666667,1455.55555555556,NA,NA,m,NA
